occupation_label,skill_label,value
IoT developer,analyse big data,1
IoT developer,machine learning,1
IoT developer,principles of artificial intelligence,1
IoT developer,utilise machine learning,1
artificial intelligence engineer,analyse big data,1
artificial intelligence engineer,artificial neural networks,1
artificial intelligence engineer,computer vision,1
artificial intelligence engineer,data mining,1
artificial intelligence engineer,data science,1
artificial intelligence engineer,deep learning,1
artificial intelligence engineer,manage ICT data classification,1
artificial intelligence engineer,principles of artificial intelligence,1
artificial intelligence engineer,utilise machine learning,1
chief data officer,data mining,1
chief data officer,data science,1
chief data officer,manage ICT data classification,1
computer scientist,data mining,1
computer scientist,data science,1
computer scientist,develop computer vision system,1
computer scientist,perform data mining,1
computer vision engineer,data science,1
computer vision engineer,deep learning,1
computer vision engineer,develop computer vision system,1
computer vision engineer,machine learning,1
computer vision engineer,perform data mining,1
computer vision engineer,principles of artificial intelligence,1
computer vision engineer,statistics,1
data analyst,analyse big data,1
data analyst,data mining,1
data analyst,data science,1
data analyst,perform data mining,1
data analyst,statistics,1
data scientist,data mining,1
data scientist,data science,1
data scientist,manage ICT data classification,1
data scientist,perform data mining,1
data scientist,statistics,1
electric power generation engineer,analyse big data,1
electric power generation engineer,data mining,1
electric power generation engineer,data mining methods,1
electric power generation engineer,perform data mining,1
electric power generation engineer,utilise machine learning,1
electromechanical drafter,analyse big data,1
electromechanical drafter,data mining,1
electromechanical drafter,perform data mining,1
electromechanical drafter,utilise machine learning,1
electromechanical engineer,analyse big data,1
electromechanical engineer,data mining,1
electromechanical engineer,perform data mining,1
electromechanical engineer,utilise machine learning,1
electromechanical engineering technician,analyse big data,1
electromechanical engineering technician,data mining,1
electromechanical engineering technician,perform data mining,1
electromechanical engineering technician,utilise machine learning,1
electronics engineering technician,analyse big data,1
electronics engineering technician,data mining,1
electronics engineering technician,perform data mining,1
electronics engineering technician,utilise machine learning,1
energy systems engineer,analyse big data,1
energy systems engineer,data mining,1
energy systems engineer,perform data mining,1
energy systems engineer,utilise machine learning,1
environmental technician,analyse big data,1
environmental technician,machine learning,1
environmental technician,principles of artificial intelligence,1
hydropower technician,analyse big data,1
hydropower technician,data mining,1
hydropower technician,perform data mining,1
hydropower technician,utilise machine learning,1
instrumentation engineer,analyse big data,1
instrumentation engineer,data mining,1
instrumentation engineer,utilise machine learning,1
knowledge engineer,data mining,1
knowledge engineer,data science,1
knowledge engineer,natural language processing,1
knowledge engineer,principles of artificial intelligence,1
maintenance and repair engineer,analyse big data,1
maintenance and repair engineer,data mining,1
maintenance and repair engineer,data mining methods,1
maintenance and repair engineer,perform data mining,1
maintenance and repair engineer,utilise machine learning,1
marine electronics technician,analyse big data,1
marine electronics technician,data mining,1
marine electronics technician,perform data mining,1
marine electronics technician,utilise machine learning,1
marine engineering drafter,analyse big data,1
marine engineering drafter,data mining,1
marine engineering drafter,perform data mining,1
marine engineering drafter,utilise machine learning,1
marine engineering technician,analyse big data,1
marine engineering technician,data mining,1
marine engineering technician,perform data mining,1
marine engineering technician,utilise machine learning,1
microelectronics materials engineer,analyse big data,1
microelectronics materials engineer,artificial neural networks,1
microelectronics materials engineer,data mining,1
microelectronics materials engineer,machine learning,1
microelectronics materials engineer,perform data mining,1
microelectronics materials engineer,principles of artificial intelligence,1
microelectronics smart manufacturing engineer,analyse big data,1
microelectronics smart manufacturing engineer,artificial neural networks,1
microelectronics smart manufacturing engineer,data mining,1
microelectronics smart manufacturing engineer,machine learning,1
microelectronics smart manufacturing engineer,perform data mining,1
microelectronics smart manufacturing engineer,principles of artificial intelligence,1
microelectronics smart manufacturing engineer,statistics,1
naval architect,analyse big data,1
naval architect,data mining,1
naval architect,perform data mining,1
naval architect,utilise machine learning,1
power distribution engineer,analyse big data,1
power distribution engineer,data mining,1
power distribution engineer,data mining methods,1
power distribution engineer,perform data mining,1
power distribution engineer,utilise machine learning,1
renewable energy engineer,analyse big data,1
renewable energy engineer,data mining,1
renewable energy engineer,perform data mining,1
renewable energy engineer,utilise machine learning,1
solar energy engineer,analyse big data,1
solar energy engineer,data mining,1
solar energy engineer,perform data mining,1
solar energy engineer,utilise machine learning,1
solar energy technician,analyse big data,1
solar energy technician,data mining,1
solar energy technician,perform data mining,1
solar energy technician,utilise machine learning,1
statistical assistant,analyse big data,1
statistical assistant,data science,1
statistical assistant,develop financial statistics reports,1
statistical assistant,statistics,1
statistician,analyse big data,1
statistician,data science,1
statistician,develop financial statistics reports,1
statistician,statistics,1
